peer_id,sector,sub_sector,employees,building_area_sqm,annual_revenue_cr,region,daily_co2e_kg,energy_intensity,renewable_percentage,has_certification,efficiency_score
P00001,Warehousing,CrossDock,76,12064,60.1,East,1143.0,56.7,5.7,False,76.3
P00002,FoodProcessing,Bakery,418,7049,1.1,West,9481.6,38.0,39.0,True,67.7
P00003,Logistics,Courier,368,7834,98.3,East,11516.1,64.3,0.5,False,61.0
P00004,Logistics,Shipping,269,7613,10.7,South,3887.6,67.2,1.4,False,83.8
P00005,Warehousing,ColdStorage,6,1121,52.5,West,102.7,85.4,37.6,False,80.9
P00006,Logistics,Courier,194,6539,84.6,West,4785.9,97.7,24.3,True,76.2
P00007,FoodProcessing,Grain,349,8106,42.9,North,3615.2,47.9,28.5,False,77.7
P00008,IT Services,SaaS,235,6284,91.6,South,1534.2,59.1,26.8,False,77.1
P00009,Warehousing,AutomotiveParts,39,5156,38.9,East,510.4,37.6,28.4,True,80.9
P00010,Warehousing,CrossDock,67,963,64.0,East,1705.9,51.2,16.4,False,59.4
P00011,Warehousing,CrossDock,247,3257,88.2,East,2387.8,64.7,8.7,False,85.5
P00012,Logistics,Rail,352,5692,32.5,South,6930.2,88.2,34.4,True,70.1
P00013,IT Services,Software,229,13645,34.4,Central,2000.2,80.7,14.5,False,73.2
P00014,Warehousing,Fulfillment,391,7380,15.7,South,5538.5,57.4,25.4,False,72.2
P00015,FoodProcessing,Meat,164,10025,25.0,South,4263.9,82.3,14.7,False,65.2
P00016,Logistics,Courier,244,6387,83.7,East,2925.9,73.4,27.1,True,74.6
P00017,IT Services,FinTech,152,3011,10.5,East,1333.0,89.5,27.0,False,74.2
P00018,Retail,DepartmentStore,103,362,66.3,South,1551.1,50.7,3.7,False,74.8
P00019,FoodProcessing,Beverages,237,3270,70.3,North,5507.8,92.7,34.0,False,69.7
P00020,Warehousing,AutomotiveParts,258,11475,11.0,West,6005.6,77.4,9.0,False,62.6
P00021,Manufacturing,Metal,308,4087,37.3,Central,9285.2,70.3,20.4,False,68.3
P00022,Logistics,Courier,55,10777,90.7,Central,678.6,78.5,34.6,True,80.3
P00023,IT Services,DataCenter,196,11412,5.3,East,1526.3,92.4,29.9,False,71.0
P00024,FoodProcessing,Dairy,99,3270,98.1,Central,1830.1,52.5,19.4,False,69.3
P00025,Retail,DepartmentStore,327,1995,8.0,South,4855.0,51.5,11.8,True,59.8
P00026,Manufacturing,Textile,250,7443,55.7,East,4979.6,74.7,3.3,True,66.5
P00027,Warehousing,CrossDock,325,12139,70.5,West,6209.0,59.4,3.8,False,69.1
P00028,Logistics,Rail,190,674,98.2,North,3686.7,37.5,12.1,False,69.6
P00029,FoodProcessing,Dairy,64,3151,96.6,Central,1633.9,61.7,28.0,True,60.2
P00030,FoodProcessing,Bakery,110,1793,5.1,West,2036.9,51.3,7.4,True,69.9
P00031,Manufacturing,Chemical,133,1181,91.6,Central,1726.0,46.9,37.4,False,79.9
P00032,FoodProcessing,Grain,251,8230,25.5,Central,5620.9,42.5,1.8,True,57.0
