farmer_id,name,state,district,practice,land_area_hectares,total_credits_kg,available_credits_kg,price_per_kg,certified,verification_status
FRM0001,Farmer 1,Tamil Nadu,District_29,Methane Capture,36.87,574839.0,226263.0,43.12,True,Audited
FRM0002,Farmer 2,Maharashtra,District_40,Soil Carbon Sequestration,2.01,11931.0,9538.0,44.25,True,Verified
FRM0003,Farmer 3,Rajasthan,District_22,Cover Cropping,22.17,81257.0,54208.0,42.79,True,Verified
FRM0004,Farmer 4,Uttar Pradesh,District_44,Methane Capture,49.18,727867.0,593914.0,53.61,True,Verified
FRM0005,Farmer 5,Gujarat,District_14,Tree Plantation,19.89,192424.0,84385.0,44.82,True,Pending
FRM0006,Farmer 6,Madhya Pradesh,District_47,Soil Carbon Sequestration,45.56,205805.0,143552.0,46.23,True,Verified
FRM0007,Farmer 7,Telangana,District_29,Methane Capture,42.27,621335.0,333713.0,58.53,False,Verified
FRM0008,Farmer 8,Tamil Nadu,District_40,Cover Cropping,20.05,72847.0,58077.0,47.14,True,Verified
FRM0009,Farmer 9,Gujarat,District_29,Methane Capture,9.1,110031.0,60961.0,47.9,True,Verified
FRM0010,Farmer 10,Uttar Pradesh,District_17,Soil Carbon Sequestration,39.72,207010.0,177155.0,53.02,False,Audited
FRM0011,Farmer 11,Haryana,District_33,Methane Capture,16.24,226540.0,167133.0,52.75,False,Verified
FRM0012,Farmer 12,Karnataka,District_47,No-Till Farming,42.6,139124.0,61436.0,45.12,True,Pending
FRM0013,Farmer 13,Rajasthan,District_42,Agroforestry,6.29,51084.0,34831.0,46.29,True,Audited
FRM0014,Farmer 14,Tamil Nadu,District_39,Cover Cropping,27.45,96766.0,83772.0,51.98,True,Audited
FRM0015,Farmer 15,Rajasthan,District_45,No-Till Farming,32.04,110391.0,86348.0,43.73,False,Verified
FRM0016,Farmer 16,Rajasthan,District_28,Organic Farming,16.58,111966.0,48902.0,48.54,False,Audited
FRM0017,Farmer 17,Tamil Nadu,District_6,Soil Carbon Sequestration,21.45,95342.0,35460.0,46.75,False,Verified
FRM0018,Farmer 18,Madhya Pradesh,District_41,Agroforestry,18.82,223690.0,196281.0,45.04,True,Verified
FRM0019,Farmer 19,Punjab,District_17,Soil Carbon Sequestration,30.87,154509.0,51125.0,45.57,False,Verified
FRM0020,Farmer 20,Haryana,District_44,Tree Plantation,49.3,530526.0,373109.0,55.23,True,Pending
FRM0021,Farmer 21,Madhya Pradesh,District_5,Agroforestry,49.19,471971.0,372791.0,55.97,True,Verified
FRM0022,Farmer 22,Uttar Pradesh,District_20,Agroforestry,34.2,275874.0,167526.0,44.53,True,Verified
FRM0023,Farmer 23,Punjab,District_40,Methane Capture,46.9,601495.0,303539.0,42.27,False,Audited
FRM0024,Farmer 24,Uttar Pradesh,District_7,Agroforestry,9.57,114191.0,69654.0,45.22,False,Audited
FRM0025,Farmer 25,Karnataka,District_37,Soil Carbon Sequestration,10.25,46702.0,33635.0,56.93,False,Verified
FRM0026,Farmer 26,Punjab,District_24,Agroforestry,5.12,44295.0,37169.0,52.13,True,Verified
FRM0027,Farmer 27,Uttar Pradesh,District_25,Cover Cropping,14.91,55005.0,32528.0,48.97,False,Verified
FRM0028,Farmer 28,Maharashtra,District_33,No-Till Farming,16.94,55846.0,38521.0,56.98,True,Verified
FRM0029,Farmer 29,Uttar Pradesh,District_22,Methane Capture,13.27,206246.0,183010.0,49.73,False,Verified
